,age,monthly_income,credit_utilization_ratio,loan_amount,loan_duration_months,num_late_payments,existing_loans_count,account_tenure_years,employment_type,education_level,marital_status,region,customer_financial_statement,sentiment,financial_stress_level,risk_category,default_risk
250,28,5500,0.25,18000,36,0,1,6,Salaried,Bachelor,Single,Urban,I'm focused on paying down my student loan and saving aggressively for a future home.,0.75,Low,Low Risk,0
251,42,9500,0.4,40000,60,1,2,15,Salaried,Master,Married,Suburban,"Our family finances are stable, though we did have a minor delay on a car payment last year.",0.7,Low,Low Risk,0
252,21,1800,0.92,7000,24,4,0,1,Student,High School,Single,Urban,It's tough balancing studies and work; my credit card is maxed out and I'm always worried about bills.,0.1,High,High Risk,1
253,55,7000,0.35,25000,48,0,1,20,Salaried,Diploma,Divorced,Rural,My finances are well-managed; I prioritize saving for retirement and have good credit.,0.95,Low,Low Risk,0
254,33,3000,0.78,10000,36,2,2,8,Self-Employed,Bachelor,Married,Suburban,"Business has been slow, and I'm using credit to bridge gaps while trying to catch up on a few missed payments.",0.2,Medium,Watchlist,1
255,60,4000,0.6,5000,12,1,1,18,Salaried,High School,Married,Rural,"Approaching retirement, I'm trying to minimize debt, but a recent medical expense put me back a little.",0.4,Medium,Watchlist,0
256,25,4800,0.15,12000,24,0,0,3,Salaried,Bachelor,Single,Urban,"I'm new to managing significant credit, but I'm careful to pay everything on time and keep my utilization low.",0.85,Low,Low Risk,0
257,68,2500,0.7,3000,12,3,0,10,Unemployed,Diploma,Divorced,Rural,"My pension barely covers living costs, and I've had to use credit cards more than I'd like for unexpected expenses.",0.25,High,High Risk,1
258,38,12000,0.2,50000,60,0,3,12,Salaried,Master,Married,Suburban,"We have significant financial obligations, but our income allows us to manage them comfortably and save.",0.85,Low,Low Risk,0
259,29,3800,0.55,15000,48,1,1,7,Salaried,Bachelor,Single,Urban,"I'm trying to improve my credit score after a small hiccup, focusing on reducing my card balances.",0.6,Medium,Watchlist,0
260,49,6000,0.85,20000,36,5,3,17,Self-Employed,High School,Divorced,Rural,"My business income is unpredictable, making it hard to keep up with all my loan payments, and I'm really struggling.",0.1,High,High Risk,1
261,23,2000,0.45,3000,12,0,0,2,Student,Bachelor,Single,Urban,"I'm careful with my small income and credit card, only using it for emergencies.",0.6,Low,Low Risk,0
262,35,7500,0.3,28000,60,0,2,10,Salaried,Master,Married,Suburban,We are planning for our children's education and maintaining a healthy financial buffer.,0.9,Low,Low Risk,0
263,58,15000,0.1,0,12,0,0,19,Salaried,Master,Married,Urban,My family is debt-free and enjoys a very comfortable financial situation as I approach retirement.,1.0,Low,Low Risk,0
264,40,2800,0.88,12000,36,6,1,9,Unemployed,Diploma,Single,Rural,"I lost my job recently, and it's been nearly impossible to keep up with payments; I'm completely overwhelmed.",0.05,High,High Risk,1
265,27,3200,0.65,8000,24,2,1,4,Salaried,Bachelor,Single,Urban,"I'm trying to improve my financial habits, but sometimes expenses catch me off guard, leading to late payments.",0.3,Medium,Watchlist,1
266,52,8000,0.4,35000,60,0,2,16,Self-Employed,Bachelor,Married,Suburban,"My business is thriving, allowing us to manage our mortgage and other loans comfortably.",0.95,Low,Low Risk,0
267,30,18000,0.1,45000,60,0,1,8,Salaried,Master,Married,Urban,"With a high income and careful budgeting, we are quickly building wealth and have minimal debt.",0.95,Low,Low Risk,0
268,65,3500,0.5,7000,24,1,0,10,Unemployed,High School,Married,Rural,"We live on a fixed income, so we're always careful with our spending, though some unexpected repairs came up.",0.4,Medium,Watchlist,0
269,24,2200,0.8,6000,12,3,0,2,Student,Bachelor,Single,Urban,"Between tuition, rent, and necessities, I'm barely scraping by and relying heavily on credit.",0.15,High,High Risk,1
270,47,5000,0.72,22000,48,4,2,14,Self-Employed,Diploma,Married,Suburban,"My business had a rough quarter, forcing me to fall behind on a few bills and max out my credit cards.",0.1,High,High Risk,1
271,36,6500,0.28,20000,36,0,1,11,Salaried,Bachelor,Married,Urban,"We budget meticulously and are saving for our children's future, keeping debt low.",0.95,Low,Low Risk,0
272,62,10000,0.15,0,12,0,0,20,Salaried,Master,Married,Suburban,"With retirement approaching, we've paid off all our debts and are enjoying significant financial freedom.",1.0,Low,Low Risk,0
273,31,4200,0.6,18000,60,2,2,9,Salaried,Bachelor,Divorced,Urban,"After my divorce, managing finances has been harder, but I'm working on getting back on track with my payments.",0.35,Medium,Watchlist,1
274,70,1700,0.95,4000,12,8,1,15,Unemployed,High School,Divorced,Rural,"My health issues mean I can't work, and my small pension isn't enough; I'm constantly in debt.",0.05,High,High Risk,1
275,28,4500,0.25,8000,24,0,1,5,Salaried,Bachelor,Single,Urban,I'm diligently saving for a down payment on my first home and managing my credit responsibly.,0.9,Low,Low Risk,0
276,22,1800,0.88,3500,12,3,2,1,Student,Diploma,Single,Suburban,"Between tuition, rent, and daily expenses, I'm constantly struggling to make ends meet each month.",0.15,High,High Risk,1
277,41,7200,0.15,25000,60,0,2,15,Salaried,Master,Married,Suburban,"Our family finances are stable, and we're planning for our children's college education.",0.9,Low,Low Risk,0
278,55,2500,0.95,10000,36,7,3,10,Unemployed,High School,Divorced,Rural,"I lost my job six months ago and have been using credit cards to cover basic necessities, falling behind on payments.",0.1,High,High Risk,1
279,35,5800,0.62,15000,48,1,3,8,Self-Employed,Bachelor,Married,Urban,"Business has been a bit volatile lately, making it challenging to consistently maintain a large savings buffer.",0.35,Medium,Watchlist,0
280,63,3100,0.18,4000,12,0,0,20,Salaried,Diploma,Married,Rural,"With retirement approaching, my focus is on maintaining my financial health and enjoying simple pleasures.",0.8,Low,Low Risk,0
281,29,3200,0.75,7000,24,2,2,4,Salaried,Bachelor,Single,Urban,"I'm juggling student loan payments and a car loan, and it feels like I'm always just one step behind.",0.2,Medium,Watchlist,0
282,48,11000,0.08,35000,60,0,1,19,Salaried,Master,Married,Suburban,"My financial portfolio is strong, and I'm actively investing for long-term growth and security.",0.95,Low,Low Risk,0
283,30,2000,0.99,5000,12,6,4,3,Salaried,High School,Single,Urban,"After a series of medical emergencies, my debt has spiraled out of control and I can't keep up.",0.05,High,High Risk,1
284,25,2700,0.45,2000,12,0,1,2,Salaried,Bachelor,Single,Rural,"I'm working my first professional job and learning to budget, things are okay but not luxurious.",0.65,Low,Low Risk,0
285,39,6500,0.35,12000,36,0,2,12,Self-Employed,Master,Divorced,Suburban,"My business is thriving, allowing me to comfortably manage expenses and plan for the future.",0.95,Low,Low Risk,0
286,51,4000,0.7,8000,24,4,2,16,Salaried,Diploma,Married,Urban,"With unexpected medical bills and supporting my aging parents, my finances are under considerable strain.",0.15,High,Watchlist,1
287,21,1500,0.55,1000,12,1,1,0,Student,High School,Single,Urban,I just started my first credit card and it's easy to overspend when you're on a student budget.,0.35,Medium,Watchlist,0
288,44,9000,0.2,40000,60,0,1,17,Salaried,Master,Married,Suburban,"We recently refinanced our mortgage to a better rate, securing our family's future even further.",0.95,Low,Low Risk,0
289,68,2800,0.05,0,0,0,0,20,Salaried,High School,Divorced,Rural,"My pension and investments provide a comfortable retirement, debt-free.",0.95,Low,Low Risk,0
290,32,3800,0.82,10000,36,5,3,6,Salaried,Bachelor,Married,Urban,My income isn't quite enough to keep up with our growing family's needs and all our existing credit payments.,0.2,High,High Risk,1
291,49,15000,0.12,50000,60,0,1,18,Self-Employed,Master,Married,Suburban,"My investments are performing well, providing a strong financial foundation for my entrepreneurial ventures.",0.9,Low,Low Risk,0
292,26,2400,0.7,6000,24,2,2,3,Salaried,Diploma,Single,Urban,"I'm barely getting by after moving to the city for work, and I've had to use credit more than I planned.",0.2,Medium,Watchlist,1
293,58,6000,0.28,15000,36,0,1,20,Salaried,Bachelor,Married,Rural,We've paid off our house and are now focusing on bolstering our retirement fund.,0.95,Low,Low Risk,0
294,37,4200,0.65,18000,48,3,3,9,Self-Employed,Bachelor,Married,Suburban,Some recent unexpected expenses and a slower quarter for my business have put a strain on our budget.,0.25,Medium,Watchlist,1
295,70,2000,0.0,0,0,0,0,20,Salaried,High School,Married,Rural,"After a lifetime of hard work, I'm enjoying my retirement with no financial worries.",0.95,Low,Low Risk,0
296,46,3000,0.9,9000,36,8,5,14,Salaried,Diploma,Divorced,Urban,"My ex-spouse left me with a lot of debt, and I'm drowning trying to pay it all back.",0.1,High,High Risk,1
297,23,1600,0.78,2500,12,2,1,1,Student,Bachelor,Single,Urban,"I'm working part-time to support my studies, but it's hard to avoid using credit for essentials.",0.25,High,Watchlist,1
298,60,5000,0.4,10000,24,1,2,18,Self-Employed,High School,Married,Rural,"My small business is stable, but I'm careful with expenditures as I approach full retirement.",0.7,Medium,Watchlist,0
299,33,18000,0.1,45000,60,0,1,10,Salaried,Master,Married,Suburban,"With a high-paying job and smart investments, I feel completely secure in my financial future.",0.95,Low,Low Risk,0
300,28,4800,0.32,12000,36,0,1,5,Salaried,Bachelor,Single,Urban,I'm working hard to build a strong financial future and keep my spending in check.,0.8,Low,Low Risk,0
301,45,16500,0.18,35000,60,0,3,18,Salaried,Master,Married,Suburban,"My investments are growing steadily, and I feel very secure financially.",0.95,Low,Low Risk,0
302,35,6200,0.58,20000,48,1,2,10,Self-Employed,Bachelor,Married,Rural,"It's a constant juggle between income and expenses, but we always make it work.",0.45,Medium,Watchlist,0
303,22,1900,0.88,6000,24,4,1,2,Student,Bachelor,Single,Urban,It's tough balancing studies and bills; I often worry about making ends meet this month.,0.2,High,High Risk,1
304,58,2100,0.92,9000,36,7,2,16,Unemployed,Diploma,Divorced,Urban,Losing my job has made things incredibly difficult; I'm barely scraping by.,0.05,High,High Risk,1
305,31,8000,0.25,18000,48,0,1,7,Salaried,Master,Married,Suburban,I'm comfortably managing my finances and saving for future goals.,0.95,Low,Low Risk,0
306,65,4000,0.45,7000,24,1,0,20,Retired,High School,Married,Rural,"My financial situation is okay, not great, not terrible; just getting by.",0.5,Medium,Watchlist,0
307,25,3500,0.65,10000,36,2,1,3,Salaried,Bachelor,Single,Urban,"I'm keeping my head above water, though I wish I had more disposable income.",0.4,Medium,Watchlist,0
308,40,7500,0.38,25000,60,0,2,12,Salaried,Bachelor,Married,Suburban,Things are going great financially; I have enough for needs and wants.,0.95,Low,Low Risk,0
309,50,9500,0.78,30000,48,3,4,15,Self-Employed,Master,Divorced,Urban,"Every month is a struggle to cover expenses, and I constantly worry about debt collectors.",0.05,High,High Risk,1
310,29,3200,0.72,8000,24,2,1,4,Salaried,Diploma,Single,Rural,I'm drowning in debt and don't know how I'll ever catch up with all these payments.,0.0,High,High Risk,1
311,39,5800,0.42,15000,36,0,2,9,Salaried,Bachelor,Married,Suburban,"We manage to pay all our bills on time, but there's not much left for savings after expenses.",0.5,Medium,Watchlist,0
312,60,12000,0.1,22000,48,0,1,20,Salaried,Master,Married,Urban,"With careful budgeting, I've managed to stay completely debt-free and save well.",0.95,Low,Low Risk,0
313,24,2500,0.7,4000,12,3,1,1,Student,Diploma,Single,Urban,"My credit cards are maxed out, and I feel trapped by my financial obligations.",0.1,High,High Risk,1
314,48,10000,0.28,28000,60,0,3,17,Salaried,Bachelor,Married,Suburban,I'm comfortably managing my finances and saving for future goals.,0.95,Low,Low Risk,0
315,70,1800,0.55,3000,12,1,1,19,Retired,High School,Widowed,Rural,"My financial situation is okay, not great, not terrible; just getting by.",0.5,Medium,Watchlist,0
316,33,7000,0.68,16000,48,2,2,6,Self-Employed,Bachelor,Married,Urban,"It's a constant juggle between income and expenses, but we always make it work.",0.5,High,High Risk,1
317,52,0,0.98,10000,24,10,3,14,Unemployed,Diploma,Single,Urban,I'm drowning in debt and don't know how I'll ever catch up with all these payments.,0.05,High,High Risk,1
318,41,8500,0.15,20000,36,0,2,13,Salaried,Master,Married,Suburban,Things are going great financially; I have enough for needs and wants.,0.95,Low,Low Risk,0
319,26,2800,0.6,7500,36,1,1,3,Salaried,Bachelor,Single,Rural,"My finances are stable, but I'm always looking for ways to improve my cash flow.",0.75,Medium,Watchlist,0
320,37,9200,0.48,27000,60,0,3,11,Self-Employed,Master,Divorced,Urban,I'm comfortably managing my finances and saving for future goals.,0.95,Low,Low Risk,0
321,55,6800,0.75,18000,48,5,4,15,Salaried,Diploma,Married,Suburban,"Every month is a struggle to cover expenses, and I constantly worry about debt collectors.",0.05,High,High Risk,1
322,21,1600,0.9,3000,12,2,1,0,Student,High School,Single,Urban,It's tough balancing studies and bills; I often worry about making ends meet this month.,0.2,High,High Risk,1
323,63,5500,0.3,10000,24,0,1,18,Retired,Bachelor,Married,Rural,"My investments are growing steadily, and I feel very secure financially.",0.95,Low,Low Risk,0
324,30,4000,0.5,11000,36,1,1,6,Salaried,Bachelor,Single,Urban,"My finances are stable, but I'm always looking for ways to improve my cash flow.",0.7,Medium,Watchlist,0
325,22,1800,0.92,3500,12,3,2,1,Student,Bachelor,Single,Urban,"I'm barely making ends meet with my part-time job and tuition, constantly trying to keep up with credit card minimums.",0.15,High,High Risk,1
326,38,12500,0.18,48000,60,0,1,14,Salaried,Master,Married,Suburban,"My finances are stable, and I'm comfortably saving for my children's education while managing our mortgage and car payments.",0.9,Low,Low Risk,0
327,45,0,0.75,18000,36,1,3,9,Unemployed,Bachelor,Divorced,Urban,"I lost my job recently and am struggling to find new work; my savings are quickly depleting, and I'm worried about upcoming bills.",0.1,High,Watchlist,1
328,28,4500,0.35,15000,48,0,1,5,Salaried,Bachelor,Single,Suburban,"I'm working on paying off my student loans and saving for a down payment on a house, feeling optimistic about my progress.",0.85,Low,Low Risk,0
329,55,8000,0.58,30000,60,2,4,20,Salaried,High School,Married,Rural,"We've had some unexpected medical expenses, which is making it tough to keep up with all our loans and save for retirement.",0.2,Medium,Watchlist,1
330,31,6000,0.88,10000,24,5,3,6,Self-Employed,Diploma,Single,Urban,"My business income is inconsistent, and I'm relying heavily on credit to cover operational costs and personal expenses, it's very stressful.",0.15,High,High Risk,1
331,62,3500,0.25,7000,12,0,0,18,Salaried,Bachelor,Divorced,Suburban,I'm nearing retirement and want to consolidate a small debt to simplify my finances before I fully stop working.,0.75,Low,Low Risk,0
332,25,2500,0.65,4000,24,2,1,2,Salaried,High School,Single,Rural,"I'm working hard but feel like I'm constantly catching up on bills, it's a bit overwhelming trying to get ahead.",0.25,Medium,Watchlist,1
333,49,18000,0.12,50000,60,0,2,17,Salaried,Master,Married,Urban,"We are planning to renovate our home and want to ensure we secure a good loan rate, our finances are well managed.",0.85,Low,Low Risk,0
334,35,5000,0.98,8000,36,7,4,7,Salaried,Bachelor,Married,Suburban,"We're drowning in credit card debt after unexpected expenses, and I fear we can't make all the payments next month.",0.05,High,High Risk,1
335,68,2000,0.1,1000,12,0,0,10,Unemployed,Diploma,Divorced,Rural,"My pension covers my needs, and I only seek a small loan for a minor home repair, no financial worries here.",0.95,Low,Low Risk,0
336,29,3000,0.8,6000,24,4,2,4,Self-Employed,Bachelor,Single,Urban,"My freelance income is unpredictable, and I often use credit cards to bridge gaps, which is becoming a problem.",0.2,High,High Risk,1
337,42,7000,0.45,25000,48,0,2,11,Salaried,Master,Married,Suburban,"We're managing our family budget well, though a large home repair expense has put a slight strain on our credit.",0.65,Medium,Watchlist,0
338,21,1500,0.5,2000,12,1,1,0,Student,High School,Single,Rural,"I just got my first credit card and am trying to be responsible, but sometimes I overspend on necessities.",0.4,Medium,Watchlist,0
339,58,10000,0.2,35000,60,0,1,19,Salaried,Bachelor,Married,Urban,"With our children grown, we're looking to downsize and invest, our financial future feels very secure.",0.95,Low,Low Risk,0
340,33,3800,0.7,12000,36,3,2,5,Salaried,Diploma,Married,Suburban,"We are managing okay, but unexpected medical bills have forced us to rely more on credit than we'd like.",0.35,Medium,Watchlist,1
341,51,9500,0.3,20000,48,0,1,16,Self-Employed,Bachelor,Divorced,Urban,"My business is thriving, and I'm planning to invest in new equipment, feeling very confident financially.",0.95,Low,Low Risk,0
342,27,2200,0.85,5000,12,6,3,3,Salaried,Diploma,Single,Rural,"I'm always short on cash and dread checking my bank balance, it feels like I'm stuck in a debt cycle.",0.1,High,High Risk,1
343,65,4000,0.15,9000,24,0,0,15,Unemployed,High School,Married,Suburban,"Our retirement savings are solid, and we just need a small loan for a planned vacation, no stress at all.",0.95,Low,Low Risk,0
344,30,7500,0.4,22000,36,0,1,8,Salaried,Master,Married,Urban,We're expanding our family and need a larger vehicle; our finances are well in hand and we budget carefully.,0.9,Low,Low Risk,0
345,47,6000,0.6,15000,48,1,3,12,Self-Employed,Bachelor,Single,Urban,"Business has slowed slightly, causing some minor cash flow issues, but I'm confident it will pick up soon.",0.4,Medium,Watchlist,0
346,36,20000,0.1,50000,60,0,1,10,Salaried,Master,Married,Suburban,"We are financially secure and looking to make a significant investment in real estate, very excited about it.",0.95,Low,Low Risk,0
347,60,3000,0.9,7000,24,8,2,15,Unemployed,Diploma,Married,Rural,"My partner's health issues have drained our savings, and we're struggling immensely to cover even basic living costs.",0.05,High,High Risk,1
348,24,3200,0.4,8000,36,0,1,3,Salaried,Bachelor,Single,Urban,"I'm focused on building my career and managing my money responsibly, aiming to save up for future goals.",0.85,Low,Low Risk,0
349,40,5500,0.72,10000,24,2,3,8,Salaried,Diploma,Divorced,Suburban,"Child support payments and rising living costs are putting a lot of pressure on my budget, making it hard to pay everything on time.",0.2,High,Watchlist,1
350,24,2100,0.95,8000,24,4,2,2,Student,Bachelor,Single,Urban,"I'm juggling my studies with a part-time job, and credit cards are barely keeping me afloat until graduation.",0.15,High,High Risk,1
351,42,9500,0.2,45000,60,0,3,15,Salaried,Master,Married,Suburban,My family's finances are stable; we're comfortably managing our mortgage and investments.,0.95,Low,Low Risk,0
352,31,5500,0.65,20000,48,1,2,7,Salaried,Bachelor,Single,Urban,"I'm working hard to pay down my debts, but the cost of living in the city makes it a challenge.",0.4,Medium,Watchlist,0
353,58,12000,0.15,30000,36,0,1,20,Self-Employed,Master,Divorced,Rural,"My business is thriving, and I'm looking forward to a comfortable retirement, debt-free.",0.95,Low,Low Risk,0
354,29,1800,1.0,6000,12,7,3,4,Unemployed,High School,Single,Urban,"I lost my job a few months ago, and now I'm struggling to make even minimum payments on my credit cards.",0.05,High,High Risk,1
355,37,7000,0.4,35000,60,0,2,10,Salaried,Bachelor,Married,Suburban,"We're comfortably managing our car payments and mortgage, focusing on building our savings.",0.9,Low,Low Risk,0
356,22,1600,0.85,4000,12,2,1,1,Student,Diploma,Single,Urban,"My small personal loan for tuition is a heavy burden, and I frequently miss payment deadlines.",0.1,High,High Risk,1
357,49,15000,0.1,50000,60,0,1,18,Salaried,Master,Married,Suburban,"With a high income and careful budgeting, we're well on track for early retirement.",0.95,Low,Low Risk,0
358,34,4000,0.75,15000,36,3,2,6,Self-Employed,High School,Divorced,Rural,"My business income is inconsistent, making it hard to keep up with loan payments every month.",0.2,High,High Risk,1
359,65,3000,0.3,10000,24,0,1,12,Salaried,Diploma,Married,Urban,Retired but still working part-time; my pension and a small loan keep things comfortable.,0.75,Low,Low Risk,0
360,27,3200,0.8,12000,36,5,2,3,Salaried,Bachelor,Single,Urban,"I'm constantly worried about making my rent and loan payments, barely scraping by each month.",0.1,High,High Risk,1
361,51,6000,0.5,25000,48,1,3,16,Salaried,Diploma,Married,Suburban,"We manage our finances carefully, balancing debt repayment with our children's education costs.",0.7,Medium,Watchlist,0
362,39,10500,0.25,40000,60,0,2,13,Self-Employed,Bachelor,Married,Urban,"My business is growing, and I'm investing in property while maintaining excellent financial health.",0.95,Low,Low Risk,0
363,62,2000,0.9,7000,12,6,2,8,Unemployed,High School,Divorced,Rural,"My pension isn't enough to cover my medical bills, and I'm falling behind on my loan payments.",0.1,High,High Risk,1
364,30,4800,0.55,18000,48,0,1,5,Salaried,Bachelor,Single,Suburban,I'm focusing on career growth and managing my student loan aggressively to become debt-free.,0.75,Medium,Low Risk,0
365,45,7500,0.35,30000,60,0,2,17,Salaried,Master,Married,Urban,We're comfortable and plan to refinance our mortgage soon to reduce monthly payments.,0.85,Low,Low Risk,0
366,26,2500,0.98,10000,24,5,3,2,Salaried,High School,Single,Rural,I'm struggling with multiple small loans and credit card debt after an unexpected job loss.,0.1,High,High Risk,1
367,54,18000,0.12,50000,48,0,1,19,Self-Employed,Master,Married,Suburban,"My finances are robust, and I'm expanding my investment portfolio for future generations.",0.95,Low,Low Risk,0
368,33,3800,0.7,16000,36,2,2,8,Salaried,Diploma,Married,Urban,"We're trying to save for a down payment, but our current loan obligations are making it tough.",0.3,Medium,Watchlist,0
369,68,2800,0.45,5000,12,1,1,15,Retired,High School,Divorced,Rural,"Living on a fixed income means careful spending, but I generally manage well.",0.7,Medium,Watchlist,0
370,21,1500,0.99,3000,12,3,1,0,Student,High School,Single,Urban,I just opened my first credit card and already feel overwhelmed by the debt.,0.15,High,High Risk,1
371,41,6500,0.6,22000,48,1,3,11,Salaried,Bachelor,Married,Suburban,We're trying to consolidate our loans to simplify payments and reduce interest.,0.4,Medium,Watchlist,0
372,59,9000,0.18,28000,36,0,1,14,Salaried,Bachelor,Married,Urban,"Approaching retirement, our finances are secure, with minimal debt and ample savings.",0.95,Low,Low Risk,0
373,36,5200,0.88,19000,48,4,4,9,Self-Employed,Diploma,Divorced,Rural,"Between unpredictable income and child support, I struggle to keep all my debts current.",0.15,High,High Risk,1
374,47,11000,0.3,42000,60,0,2,16,Salaried,Master,Married,Suburban,We're investing in our children's future and comfortably managing our home and car loans.,0.9,Low,Low Risk,0
375,28,6000,0.15,15000,36,0,1,5,Salaried,Bachelor,Single,Urban,"I'm diligently saving for a down payment on a home, managing my new car loan comfortably.",0.85,Low,Low Risk,0
376,45,12000,0.25,30000,48,0,2,18,Salaried,Master,Married,Suburban,"Our family finances are stable, and we're planning for our children's education while improving our home.",0.9,Low,Low Risk,0
377,22,1800,0.95,3000,12,4,1,2,Student,High School,Single,Urban,"It's tough making ends meet, and my credit card bills are overwhelming me this semester.",0.15,High,High Risk,1
378,38,7500,0.8,10000,24,2,3,12,Salaried,Bachelor,Divorced,Suburban,"I'm trying to get my finances back on track after a difficult period, hoping this consolidation loan helps.",0.35,Medium,Watchlist,1
379,68,4000,0.1,5000,24,0,0,20,Salaried,Diploma,Married,Rural,"My retirement income is modest but sufficient, and I manage my expenses carefully.",0.75,Low,Low Risk,0
380,34,1500,1.0,2000,12,8,2,8,Unemployed,High School,Single,Urban,Being out of work has made everything a struggle; I'm falling behind on every payment.,0.05,High,High Risk,1
381,42,9000,0.65,25000,48,1,2,10,Self-Employed,Bachelor,Married,Suburban,"My business is growing, but cash flow can be tight sometimes, so I'm leveraging credit for new opportunities.",0.65,Medium,Watchlist,0
382,24,3500,0.5,7000,36,0,1,3,Salaried,Bachelor,Single,Urban,"Just started my first job, so I'm learning to balance my student loan payments with new expenses.",0.55,Medium,Watchlist,0
383,48,5000,0.9,12000,60,6,3,15,Salaried,Diploma,Divorced,Urban,"The divorce settlement left me in a difficult financial spot, and I'm struggling to keep up with everything.",0.15,High,High Risk,1
384,53,4500,0.2,8000,36,0,1,19,Salaried,High School,Married,Rural,Life is steady here; we live simply and aim to pay off our debts as quickly as possible.,0.75,Low,Low Risk,0
385,27,3000,0.3,6000,24,0,0,4,Salaried,Diploma,Single,Suburban,We're planning our wedding and carefully budgeting to avoid any financial surprises.,0.75,Low,Low Risk,0
386,39,18000,0.55,50000,60,0,3,15,Salaried,Master,Married,Urban,"My income supports my lifestyle and investments, though I sometimes carry balances on my credit cards for convenience.",0.75,Low,Low Risk,0
387,31,4000,0.7,4000,12,0,0,1,Salaried,Bachelor,Single,Urban,I'm working hard to establish myself here and build a good credit history from scratch.,0.5,Medium,Watchlist,0
388,55,7000,0.85,18000,48,3,2,17,Self-Employed,Diploma,Married,Rural,"Running my own business means occasional tight spots, but I always manage to pull through.",0.6,High,High Risk,1
389,41,3800,0.6,9000,36,1,2,11,Salaried,Bachelor,Divorced,Suburban,It's a constant juggle to provide for my kids and manage all the household bills alone.,0.25,Medium,Watchlist,1
390,62,5500,0.18,7000,24,0,0,20,Salaried,Master,Married,Suburban,We're enjoying our retirement and have our finances well-planned for leisure and unexpected needs.,0.95,Low,Low Risk,0
391,30,15000,0.4,45000,60,0,0,7,Salaried,Bachelor,Single,Urban,"I've saved diligently and am excited to finally buy my first home, managing the down payment loan responsibly.",0.9,Low,Low Risk,0
392,47,4200,0.75,10000,36,2,1,14,Salaried,High School,Married,Rural,"My job is stable, but big home expenses always stretch the budget to its limits.",0.45,High,High Risk,1
393,50,20000,0.1,20000,24,0,4,20,Salaried,Master,Married,Urban,My financial strategy is focused on long-term growth and maintaining a strong liquidity position.,0.85,Low,Low Risk,0
394,33,2500,0.98,5000,12,5,1,6,Self-Employed,Diploma,Single,Urban,"The art market is unpredictable; some months are great, others I'm just barely scraping by.",0.3,High,High Risk,1
395,58,1500,1.0,15000,60,7,2,18,Unemployed,Bachelor,Married,Suburban,"Losing my job unexpectedly has plunged us into financial uncertainty, and I'm very worried.",0.1,High,High Risk,1
396,36,4800,0.45,12000,48,0,1,10,Salaried,Diploma,Married,Suburban,We manage our finances carefully to afford little luxuries and maintain our home.,0.8,Low,Low Risk,0
397,26,2000,0.25,2000,12,0,1,3,Student,Master,Single,Urban,"My stipend covers my essentials, and I'm very cautious about taking on any additional debt.",0.7,Low,Low Risk,0
398,29,3000,0.92,25000,36,3,1,5,Self-Employed,Bachelor,Single,Urban,"All my personal funds are invested into my startup, and it's a high-stakes game right now.",0.2,High,High Risk,1
399,65,1500,1.0,3000,24,10,1,10,Unemployed,High School,Divorced,Rural,"I've been unable to find work for years, and now I'm just living hand-to-mouth, constantly worried.",0.05,High,High Risk,1
400,22,1800,0.85,5000,24,3,2,1,Student,Bachelor,Single,Urban,"I'm always stressed about my credit card balance and making rent on time, it feels like I'm drowning.",0.1,High,High Risk,1
401,48,18000,0.15,45000,60,0,3,18,Salaried,Master,Married,Suburban,"My investments are growing steadily, and I feel very secure about my financial future.",0.95,Low,Low Risk,0
402,35,6000,0.3,25000,48,0,2,10,Salaried,Bachelor,Married,Suburban,We're comfortable and manage our bills easily; saving for our kids' college is our main focus now.,0.95,Low,Low Risk,0
403,24,3200,0.6,10000,36,1,2,2,Salaried,Bachelor,Single,Urban,"I'm just starting out, so managing student loan payments and my new car loan is a bit tight, but I'm making it work.",0.45,Medium,Watchlist,0
404,41,4000,0.9,18000,36,5,3,12,Salaried,Diploma,Divorced,Urban,"After my divorce, it's been a constant struggle to keep up with bills and support my children.",0.15,High,High Risk,1
405,38,12000,0.4,30000,60,0,2,9,Self-Employed,Bachelor,Married,Suburban,"My business is thriving, and I'm confident about expanding further, though it requires significant capital.",0.85,Low,Low Risk,0
406,29,1600,0.95,3000,12,6,1,5,Unemployed,High School,Single,Urban,"It's a really tough time; I'm trying to find a job, but my savings are gone and the bills are piling up.",0.1,High,High Risk,1
407,68,2500,0.2,5000,24,0,1,20,Unemployed,Diploma,Married,Rural,"My pension covers our needs, and we live simply, but occasional large expenses can be a worry.",0.65,Medium,Watchlist,0
408,31,7500,0.5,40000,60,0,2,7,Salaried,Bachelor,Married,Suburban,"Buying our first home has stretched us thin, but it's a dream come true, and we're committed to managing the payments.",0.4,Medium,Watchlist,0
409,26,2800,0.7,7000,36,2,2,3,Salaried,High School,Single,Urban,"I'm working hard to get my finances in order, but it's tough with a low wage and existing debt.",0.25,High,Watchlist,1
410,52,5500,0.8,15000,48,4,2,15,Salaried,Bachelor,Married,Suburban,Unexpected medical emergencies have put a huge strain on our savings and forced us to take out loans.,0.15,High,High Risk,1
411,58,20000,0.1,50000,60,0,4,20,Self-Employed,Master,Divorced,Urban,"My portfolio is diversified, and I'm always looking for strategic opportunities to leverage capital for growth.",0.9,Low,Low Risk,0
412,29,6500,0.4,20000,48,0,1,5,Salaried,Bachelor,Married,Suburban,"We're excited about our baby arriving, but the new expenses mean we're being very careful with our budget.",0.5,Medium,Watchlist,0
